cnic,full_name,city,vehicle_score,utility_score,property_score,travel_score,tax_gap_score,lifestyle_index,ml_anomaly_score,tax_deviation_score,flagged,audit_trail
35209-9336310-5,Shahzaib Butt,Lahore,100,100,100,100,100,100.0,58.16854087107931,76.99,1,"Non-Filer (No active tax filings recorded) | Owns 3 vehicle(s) (Max engine CC: 2000cc) | Monthly utility consumption: Max bill PKR 451,294 | Owns 4 property/properties (Total estimated value: PKR 361,587,735) | International travels logged: 1 flight(s) (1 Business/First class) | Entity Resolution Warning: 5 asset records registered under conflicting name variations (Benami risk) | Network Risk: Shares registered address with 276 other individuals | Community Risk: Shares property space with 79 unregistered non-filers"
35204-4186015-5,Shahzaib Ahmed,Islamabad,100,100,100,100,100,100.0,58.16854087107931,76.99,1,"Non-Filer (No active tax filings recorded) | Owns 1 vehicle(s) (Max engine CC: 2000cc) | Monthly utility consumption: Max bill PKR 266,056 | Owns 3 property/properties (Total estimated value: PKR 207,055,391) | International travels logged: 1 flight(s) (1 Business/First class) | Entity Resolution Warning: 5 asset records registered under conflicting name variations (Benami risk) | Network Risk: Shares registered address with 276 other individuals | Community Risk: Shares property space with 79 unregistered non-filers"
35203-8101038-5,Asad Sheikh,Islamabad,100,100,100,100,100,100.0,58.16854087107931,76.99,1,"Non-Filer (No active tax filings recorded) | Owns 2 vehicle(s) (Max engine CC: 4600cc) | Monthly utility consumption: Max bill PKR 446,079 | Owns 3 property/properties (Total estimated value: PKR 212,015,673) | International travels logged: 1 flight(s) (1 Business/First class) | Entity Resolution Warning: 5 asset records registered under conflicting name variations (Benami risk) | Network Risk: Shares registered address with 276 other individuals | Community Risk: Shares property space with 79 unregistered non-filers"
35201-8142553-4,Faisal Mahmood,Multan,100,100,100,100,80,96.0,60.191939831174956,76.31,1,"Filer with declared annual income PKR 275,815 | Owns 2 vehicle(s) (Max engine CC: 4600cc) | Monthly utility consumption: Max bill PKR 295,778 | Owns 3 property/properties (Total estimated value: PKR 340,773,101) | International travels logged: 1 flight(s) (1 Business/First class) | Entity Resolution Warning: 4 asset records registered under conflicting name variations (Benami risk) | Network Risk: Shares registered address with 276 other individuals | Community Risk: Shares property space with 91 unregistered non-filers"
35207-2599468-1,Waqas Sheikh,Multan,100,100,100,100,100,100.0,56.63291033964203,76.15,1,"Non-Filer (No active tax filings recorded) | Owns 1 vehicle(s) (Max engine CC: 4600cc) | Monthly utility consumption: Max bill PKR 205,753 | Owns 2 property/properties (Total estimated value: PKR 209,221,642) | International travels logged: 1 flight(s) (1 Business/First class) | Entity Resolution Warning: 4 asset records registered under conflicting name variations (Benami risk) | Network Risk: Shares registered address with 276 other individuals | Community Risk: Shares property space with 79 unregistered non-filers"
35207-4775446-8,Hamza Sheikh,Rawalpindi,100,100,100,100,100,100.0,56.63291033964203,76.15,1,"Non-Filer (No active tax filings recorded) | Owns 4 vehicle(s) (Max engine CC: 4600cc) | Monthly utility consumption: Max bill PKR 341,391 | Owns 3 property/properties (Total estimated value: PKR 293,908,082) | International travels logged: 1 flight(s) (1 Business/First class) | Entity Resolution Warning: 4 asset records registered under conflicting name variations (Benami risk) | Network Risk: Shares registered address with 276 other individuals | Community Risk: Shares property space with 79 unregistered non-filers"
35204-3706130-9,Salman Iqbal,Rawalpindi,100,100,100,100,100,100.0,55.3578994738399,75.45,1,"Non-Filer (No active tax filings recorded) | Owns 1 vehicle(s) (Max engine CC: 2000cc) | Monthly utility consumption: Max bill PKR 212,590 | Owns 4 property/properties (Total estimated value: PKR 318,250,090) | International travels logged: 1 flight(s) (1 Business/First class) | Entity Resolution Warning: 3 asset records registered under conflicting name variations (Benami risk) | Network Risk: Shares registered address with 276 other individuals | Community Risk: Shares property space with 79 unregistered non-filers"
35207-2484470-1,Shahzaib Akhtar,Lahore,100,100,100,100,100,100.0,55.3578994738399,75.45,1,"Non-Filer (No active tax filings recorded) | Owns 3 vehicle(s) (Max engine CC: 2000cc) | Monthly utility consumption: Max bill PKR 411,905 | Owns 4 property/properties (Total estimated value: PKR 295,679,761) | International travels logged: 1 flight(s) (1 Business/First class) | Entity Resolution Warning: 3 asset records registered under conflicting name variations (Benami risk) | Network Risk: Shares registered address with 276 other individuals | Community Risk: Shares property space with 79 unregistered non-filers"
35203-5121743-2,Salman Khan,Lahore,100,100,100,100,100,100.0,55.3578994738399,75.45,1,"Non-Filer (No active tax filings recorded) | Owns 1 vehicle(s) (Max engine CC: 2000cc) | Monthly utility consumption: Max bill PKR 371,224 | Owns 4 property/properties (Total estimated value: PKR 309,068,280) | International travels logged: 1 flight(s) (1 Business/First class) | Entity Resolution Warning: 3 asset records registered under conflicting name variations (Benami risk) | Network Risk: Shares registered address with 276 other individuals | Community Risk: Shares property space with 79 unregistered non-filers"
35208-7468539-8,Salman Ahmed,Multan,100,100,100,100,100,100.0,55.3578994738399,75.45,1,"Non-Filer (No active tax filings recorded) | Owns 1 vehicle(s) (Max engine CC: 2000cc) | Monthly utility consumption: Max bill PKR 256,150 | Owns 3 property/properties (Total estimated value: PKR 231,635,230) | International travels logged: 1 flight(s) (1 Business/First class) | Entity Resolution Warning: 3 asset records registered under conflicting name variations (Benami risk) | Network Risk: Shares registered address with 276 other individuals | Community Risk: Shares property space with 79 unregistered non-filers"
35208-7855114-2,Zain Mehmood,Islamabad,100,100,100,100,100,100.0,55.3578994738399,75.45,1,"Non-Filer (No active tax filings recorded) | Owns 2 vehicle(s) (Max engine CC: 2000cc) | Monthly utility consumption: Max bill PKR 297,255 | Owns 2 property/properties (Total estimated value: PKR 105,835,926) | International travels logged: 1 flight(s) (1 Business/First class) | Entity Resolution Warning: 3 asset records registered under conflicting name variations (Benami risk) | Network Risk: Shares registered address with 276 other individuals | Community Risk: Shares property space with 79 unregistered non-filers"
35208-9868198-3,Faisal Zafar,Karachi,100,100,100,100,100,100.0,55.3578994738399,75.45,1,"Non-Filer (No active tax filings recorded) | Owns 3 vehicle(s) (Max engine CC: 4600cc) | Monthly utility consumption: Max bill PKR 418,126 | Owns 2 property/properties (Total estimated value: PKR 123,692,475) | International travels logged: 1 flight(s) (1 Business/First class) | Entity Resolution Warning: 3 asset records registered under conflicting name variations (Benami risk) | Network Risk: Shares registered address with 276 other individuals | Community Risk: Shares property space with 79 unregistered non-filers"
35207-1772941-5,Zain Dar,Karachi,100,100,100,100,100,100.0,55.3578994738399,75.45,1,"Non-Filer (No active tax filings recorded) | Owns 2 vehicle(s) (Max engine CC: 2000cc) | Monthly utility consumption: Max bill PKR 442,815 | Owns 4 property/properties (Total estimated value: PKR 304,731,232) | International travels logged: 1 flight(s) (1 Business/First class) | Entity Resolution Warning: 3 asset records registered under conflicting name variations (Benami risk) | Network Risk: Shares registered address with 276 other individuals | Community Risk: Shares property space with 79 unregistered non-filers"
35201-9398790-7,Muhammad Akhtar,Lahore,100,100,100,100,80,96.0,58.56546540383325,75.41,1,"Filer with declared annual income PKR 307,912 | Owns 2 vehicle(s) (Max engine CC: 4600cc) | Monthly utility consumption: Max bill PKR 181,526 | Owns 4 property/properties (Total estimated value: PKR 491,681,983) | International travels logged: 1 flight(s) (1 Business/First class) | Entity Resolution Warning: 3 asset records registered under conflicting name variations (Benami risk) | Network Risk: Shares registered address with 281 other individuals | Community Risk: Shares property space with 91 unregistered non-filers"
35208-8981109-8,Salman Malik,Multan,100,100,100,100,80,96.0,58.56546540383325,75.41,1,"Filer with declared annual income PKR 457,368 | Owns 2 vehicle(s) (Max engine CC: 2000cc) | Monthly utility consumption: Max bill PKR 263,309 | Owns 3 property/properties (Total estimated value: PKR 212,481,157) | International travels logged: 1 flight(s) (1 Business/First class) | Entity Resolution Warning: 3 asset records registered under conflicting name variations (Benami risk) | Network Risk: Shares registered address with 281 other individuals | Community Risk: Shares property space with 91 unregistered non-filers"
35205-5975025-3,Waqas Mahmood,Multan,100,100,100,100,80,96.0,58.56546540383325,75.41,1,"Filer with declared annual income PKR 361,566 | Owns 4 vehicle(s) (Max engine CC: 4600cc) | Monthly utility consumption: Max bill PKR 448,871 | Owns 3 property/properties (Total estimated value: PKR 211,531,451) | International travels logged: 1 flight(s) (1 Business/First class) | Entity Resolution Warning: 3 asset records registered under conflicting name variations (Benami risk) | Network Risk: Shares registered address with 281 other individuals | Community Risk: Shares property space with 91 unregistered non-filers"
35203-6422059-4,Junaid Iqbal,Karachi,100,100,100,100,80,96.0,58.56546540383325,75.41,1,"Filer with declared annual income PKR 354,522 | Owns 1 vehicle(s) (Max engine CC: 2000cc) | Monthly utility consumption: Max bill PKR 471,725 | Owns 2 property/properties (Total estimated value: PKR 104,412,078) | International travels logged: 1 flight(s) (1 Business/First class) | Entity Resolution Warning: 3 asset records registered under conflicting name variations (Benami risk) | Network Risk: Shares registered address with 281 other individuals | Community Risk: Shares property space with 91 unregistered non-filers"
35208-7096724-4,Osman Malik,Rawalpindi,100,100,100,100,80,96.0,58.56546540383325,75.41,1,"Filer with declared annual income PKR 364,170 | Owns 1 vehicle(s) (Max engine CC: 2000cc) | Monthly utility consumption: Max bill PKR 236,951 | Owns 2 property/properties (Total estimated value: PKR 192,923,254) | International travels logged: 1 flight(s) (1 Business/First class) | Entity Resolution Warning: 3 asset records registered under conflicting name variations (Benami risk) | Network Risk: Shares registered address with 281 other individuals | Community Risk: Shares property space with 91 unregistered non-filers"
35206-4004334-2,Ahmed Butt,Islamabad,100,100,100,100,100,100.0,54.57205263292755,75.01,1,"Non-Filer (No active tax filings recorded) | Owns 2 vehicle(s) (Max engine CC: 2000cc) | Monthly utility consumption: Max bill PKR 239,109 | Owns 2 property/properties (Total estimated value: PKR 173,792,528) | International travels logged: 1 flight(s) (1 Business/First class) | Entity Resolution Warning: 2 asset records registered under conflicting name variations (Benami risk) | Network Risk: Shares registered address with 270 other individuals | Community Risk: Shares property space with 90 unregistered non-filers"
35209-2317166-3,Umar Qureshi,Multan,100,100,100,100,80,96.0,57.34064708643781,74.74,1,"Filer with declared annual income PKR 464,555 | Owns 2 vehicle(s) (Max engine CC: 4600cc) | Monthly utility consumption: Max bill PKR 301,730 | Owns 3 property/properties (Total estimated value: PKR 276,521,289) | International travels logged: 1 flight(s) (1 Business/First class) | Entity Resolution Warning: 5 asset records registered under conflicting name variations (Benami risk) | Network Risk: Shares registered address with 281 other individuals | Community Risk: Shares property space with 91 unregistered non-filers"
35203-4686170-8,Bilal Ali,Faisalabad,100,100,100,100,80,96.0,57.34064708643781,74.74,1,"Filer with declared annual income PKR 386,404 | Owns 3 vehicle(s) (Max engine CC: 2000cc) | Monthly utility consumption: Max bill PKR 156,118 | Owns 2 property/properties (Total estimated value: PKR 104,141,195) | International travels logged: 1 flight(s) (1 Business/First class) | Entity Resolution Warning: 5 asset records registered under conflicting name variations (Benami risk) | Network Risk: Shares registered address with 281 other individuals | Community Risk: Shares property space with 91 unregistered non-filers"
35204-6457798-1,Ahmed Iqbal,Karachi,100,100,100,100,80,96.0,57.34064708643781,74.74,1,"Filer with declared annual income PKR 273,630 | Owns 2 vehicle(s) (Max engine CC: 4600cc) | Monthly utility consumption: Max bill PKR 193,886 | Owns 3 property/properties (Total estimated value: PKR 182,055,157) | International travels logged: 1 flight(s) (1 Business/First class) | Entity Resolution Warning: 5 asset records registered under conflicting name variations (Benami risk) | Network Risk: Shares registered address with 281 other individuals | Community Risk: Shares property space with 91 unregistered non-filers"
35206-4928103-6,Osman Raza,Multan,100,100,100,100,80,96.0,57.34064708643781,74.74,1,"Filer with declared annual income PKR 301,841 | Owns 1 vehicle(s) (Max engine CC: 4600cc) | Monthly utility consumption: Max bill PKR 165,780 | Owns 4 property/properties (Total estimated value: PKR 273,171,485) | International travels logged: 1 flight(s) (1 Business/First class) | Entity Resolution Warning: 5 asset records registered under conflicting name variations (Benami risk) | Network Risk: Shares registered address with 281 other individuals | Community Risk: Shares property space with 91 unregistered non-filers"
35206-2521735-7,Junaid Dar,Islamabad,100,100,100,100,80,96.0,57.34064708643781,74.74,1,"Filer with declared annual income PKR 324,961 | Owns 2 vehicle(s) (Max engine CC: 4600cc) | Monthly utility consumption: Max bill PKR 339,717 | Owns 4 property/properties (Total estimated value: PKR 331,827,119) | International travels logged: 1 flight(s) (1 Business/First class) | Entity Resolution Warning: 5 asset records registered under conflicting name variations (Benami risk) | Network Risk: Shares registered address with 281 other individuals | Community Risk: Shares property space with 91 unregistered non-filers"
35204-9030023-9,Salman Bajwa,Multan,100,100,100,100,80,96.0,57.34064708643781,74.74,1,"Filer with declared annual income PKR 364,601 | Owns 3 vehicle(s) (Max engine CC: 4600cc) | Monthly utility consumption: Max bill PKR 375,774 | Owns 4 property/properties (Total estimated value: PKR 385,690,440) | International travels logged: 1 flight(s) (1 Business/First class) | Entity Resolution Warning: 5 asset records registered under conflicting name variations (Benami risk) | Network Risk: Shares registered address with 281 other individuals | Community Risk: Shares property space with 91 unregistered non-filers"
35205-8867320-5,Hamza Iqbal,Islamabad,100,100,100,100,80,96.0,57.34064708643781,74.74,1,"Filer with declared annual income PKR 431,337 | Owns 5 vehicle(s) (Max engine CC: 4600cc) | Monthly utility consumption: Max bill PKR 326,889 | Owns 4 property/properties (Total estimated value: PKR 258,294,337) | International travels logged: 1 flight(s) (1 Business/First class) | Entity Resolution Warning: 5 asset records registered under conflicting name variations (Benami risk) | Network Risk: Shares registered address with 281 other individuals | Community Risk: Shares property space with 91 unregistered non-filers"
35206-2192140-4,Waqas Mahmood,Karachi,100,100,100,100,100,100.0,53.35917048666775,74.35,1,"Non-Filer (No active tax filings recorded) | Owns 1 vehicle(s) (Max engine CC: 2000cc) | Monthly utility consumption: Max bill PKR 246,799 | Owns 4 property/properties (Total estimated value: PKR 293,243,138) | International travels logged: 1 flight(s) (1 Business/First class) | Entity Resolution Warning: 1 asset records registered under conflicting name variations (Benami risk) | Network Risk: Shares registered address with 276 other individuals | Community Risk: Shares property space with 90 unregistered non-filers"
35207-7975179-7,Shahzaib Raza,Karachi,100,100,100,100,100,100.0,53.23046447817823,74.28,1,"Non-Filer (No active tax filings recorded) | Owns 1 vehicle(s) (Max engine CC: 2000cc) | Monthly utility consumption: Max bill PKR 404,593 | Owns 3 property/properties (Total estimated value: PKR 187,558,667) | International travels logged: 1 flight(s) (1 Business/First class) | Entity Resolution Warning: 6 asset records registered under conflicting name variations (Benami risk) | Network Risk: Shares registered address with 276 other individuals | Community Risk: Shares property space with 90 unregistered non-filers"
35207-4040640-6,Bilal Dar,Lahore,100,100,100,100,100,100.0,53.23046447817823,74.28,1,"Non-Filer (No active tax filings recorded) | Owns 3 vehicle(s) (Max engine CC: 4600cc) | Monthly utility consumption: Max bill PKR 265,468 | Owns 2 property/properties (Total estimated value: PKR 182,766,424) | International travels logged: 1 flight(s) (1 Business/First class) | Entity Resolution Warning: 6 asset records registered under conflicting name variations (Benami risk) | Network Risk: Shares registered address with 276 other individuals | Community Risk: Shares property space with 90 unregistered non-filers"
35205-9657414-4,Zain Akhtar,Islamabad,100,100,100,100,100,100.0,53.23046447817823,74.28,1,"Non-Filer (No active tax filings recorded) | Owns 4 vehicle(s) (Max engine CC: 4600cc) | Monthly utility consumption: Max bill PKR 447,062 | Owns 4 property/properties (Total estimated value: PKR 256,666,015) | International travels logged: 1 flight(s) (1 Business/First class) | Entity Resolution Warning: 6 asset records registered under conflicting name variations (Benami risk) | Network Risk: Shares registered address with 276 other individuals | Community Risk: Shares property space with 90 unregistered non-filers"
35208-9774942-8,Waqas Iqbal,Karachi,100,100,100,100,100,100.0,53.23046447817823,74.28,1,"Non-Filer (No active tax filings recorded) | Owns 4 vehicle(s) (Max engine CC: 4600cc) | Monthly utility consumption: Max bill PKR 332,689 | Owns 3 property/properties (Total estimated value: PKR 365,448,859) | International travels logged: 1 flight(s) (1 Business/First class) | Entity Resolution Warning: 6 asset records registered under conflicting name variations (Benami risk) | Network Risk: Shares registered address with 276 other individuals | Community Risk: Shares property space with 90 unregistered non-filers"
35201-9494571-2,Waqas Iqbal,Lahore,100,100,100,100,100,100.0,53.23046447817823,74.28,1,"Non-Filer (No active tax filings recorded) | Owns 2 vehicle(s) (Max engine CC: 4600cc) | Monthly utility consumption: Max bill PKR 315,179 | Owns 4 property/properties (Total estimated value: PKR 428,458,390) | International travels logged: 1 flight(s) (1 Business/First class) | Entity Resolution Warning: 6 asset records registered under conflicting name variations (Benami risk) | Network Risk: Shares registered address with 276 other individuals | Community Risk: Shares property space with 90 unregistered non-filers"
35208-4987886-5,Osman Bajwa,Multan,100,100,100,100,80,96.0,56.40656023438007,74.22,1,"Filer with declared annual income PKR 479,864 | Owns 2 vehicle(s) (Max engine CC: 2000cc) | Monthly utility consumption: Max bill PKR 373,706 | Owns 3 property/properties (Total estimated value: PKR 206,516,649) | International travels logged: 1 flight(s) (1 Business/First class) | Entity Resolution Warning: 4 asset records registered under conflicting name variations (Benami risk) | Network Risk: Shares registered address with 281 other individuals | Community Risk: Shares property space with 91 unregistered non-filers"
35204-2035940-6,Bilal Bajwa,Rawalpindi,100,100,100,100,80,96.0,56.40656023438007,74.22,1,"Filer with declared annual income PKR 374,830 | Owns 2 vehicle(s) (Max engine CC: 4600cc) | Monthly utility consumption: Max bill PKR 369,185 | Owns 2 property/properties (Total estimated value: PKR 212,137,118) | International travels logged: 1 flight(s) (1 Business/First class) | Entity Resolution Warning: 4 asset records registered under conflicting name variations (Benami risk) | Network Risk: Shares registered address with 281 other individuals | Community Risk: Shares property space with 91 unregistered non-filers"
35209-1649789-1,Abdullah Akhtar,Multan,100,100,100,100,80,96.0,56.40656023438007,74.22,1,"Filer with declared annual income PKR 440,959 | Owns 3 vehicle(s) (Max engine CC: 2000cc) | Monthly utility consumption: Max bill PKR 249,935 | Owns 4 property/properties (Total estimated value: PKR 474,440,691) | International travels logged: 1 flight(s) (1 Business/First class) | Entity Resolution Warning: 4 asset records registered under conflicting name variations (Benami risk) | Network Risk: Shares registered address with 281 other individuals | Community Risk: Shares property space with 91 unregistered non-filers"
35205-2037668-7,Tariq Raza,Karachi,100,100,100,100,80,96.0,56.40656023438007,74.22,1,"Filer with declared annual income PKR 355,293 | Owns 3 vehicle(s) (Max engine CC: 2000cc) | Monthly utility consumption: Max bill PKR 473,796 | Owns 2 property/properties (Total estimated value: PKR 169,434,266) | International travels logged: 1 flight(s) (1 Business/First class) | Entity Resolution Warning: 4 asset records registered under conflicting name variations (Benami risk) | Network Risk: Shares registered address with 281 other individuals | Community Risk: Shares property space with 91 unregistered non-filers"
35207-2682131-3,Asad Khan,Multan,100,100,100,100,80,96.0,56.40656023438007,74.22,1,"Filer with declared annual income PKR 477,001 | Owns 1 vehicle(s) (Max engine CC: 4600cc) | Monthly utility consumption: Max bill PKR 199,015 | Owns 2 property/properties (Total estimated value: PKR 171,526,531) | International travels logged: 1 flight(s) (1 Business/First class) | Entity Resolution Warning: 4 asset records registered under conflicting name variations (Benami risk) | Network Risk: Shares registered address with 281 other individuals | Community Risk: Shares property space with 91 unregistered non-filers"
35204-9260120-4,Umar Iqbal,Multan,100,100,100,100,80,96.0,56.40656023438007,74.22,1,"Filer with declared annual income PKR 401,591 | Owns 3 vehicle(s) (Max engine CC: 2000cc) | Monthly utility consumption: Max bill PKR 305,471 | Owns 4 property/properties (Total estimated value: PKR 348,318,361) | International travels logged: 1 flight(s) (1 Business/First class) | Entity Resolution Warning: 4 asset records registered under conflicting name variations (Benami risk) | Network Risk: Shares registered address with 281 other individuals | Community Risk: Shares property space with 91 unregistered non-filers"
35205-2475811-9,Zain Sheikh,Lahore,100,100,100,100,100,100.0,50.79205597823181,72.94,1,"Non-Filer (No active tax filings recorded) | Owns 2 vehicle(s) (Max engine CC: 2000cc) | Monthly utility consumption: Max bill PKR 406,862 | Owns 3 property/properties (Total estimated value: PKR 310,976,258) | International travels logged: 1 flight(s) (1 Business/First class) | Entity Resolution Warning: 1 asset records registered under conflicting name variations (Benami risk) | Network Risk: Shares registered address with 281 other individuals | Community Risk: Shares property space with 90 unregistered non-filers"
35201-3360361-7,Waqas Khan,Rawalpindi,100,100,100,100,100,100.0,50.79205597823181,72.94,1,"Non-Filer (No active tax filings recorded) | Owns 2 vehicle(s) (Max engine CC: 2000cc) | Monthly utility consumption: Max bill PKR 336,616 | Owns 2 property/properties (Total estimated value: PKR 266,348,472) | International travels logged: 1 flight(s) (1 Business/First class) | Entity Resolution Warning: 1 asset records registered under conflicting name variations (Benami risk) | Network Risk: Shares registered address with 281 other individuals | Community Risk: Shares property space with 90 unregistered non-filers"
35208-1140330-9,Shahzaib Bajwa,Karachi,100,100,100,100,100,100.0,50.592144410893994,72.83,1,"Non-Filer (No active tax filings recorded) | Owns 1 vehicle(s) (Max engine CC: 2000cc) | Monthly utility consumption: Max bill PKR 425,666 | Owns 4 property/properties (Total estimated value: PKR 364,803,816) | International travels logged: 1 flight(s) (1 Business/First class) | Entity Resolution Warning: 5 asset records registered under conflicting name variations (Benami risk) | Network Risk: Shares registered address with 270 other individuals | Community Risk: Shares property space with 90 unregistered non-filers"
35204-2837431-8,Asad Sheikh,Karachi,100,100,100,100,100,100.0,50.592144410893994,72.83,1,"Non-Filer (No active tax filings recorded) | Owns 2 vehicle(s) (Max engine CC: 4600cc) | Monthly utility consumption: Max bill PKR 223,058 | Owns 2 property/properties (Total estimated value: PKR 169,439,052) | International travels logged: 1 flight(s) (1 Business/First class) | Entity Resolution Warning: 5 asset records registered under conflicting name variations (Benami risk) | Network Risk: Shares registered address with 270 other individuals | Community Risk: Shares property space with 90 unregistered non-filers"
35206-4060005-8,Abdullah Iqbal,Islamabad,100,100,100,100,100,100.0,50.592144410893994,72.83,1,"Non-Filer (No active tax filings recorded) | Owns 1 vehicle(s) (Max engine CC: 4600cc) | Monthly utility consumption: Max bill PKR 438,965 | Owns 4 property/properties (Total estimated value: PKR 392,304,532) | International travels logged: 1 flight(s) (1 Business/First class) | Entity Resolution Warning: 5 asset records registered under conflicting name variations (Benami risk) | Network Risk: Shares registered address with 270 other individuals | Community Risk: Shares property space with 90 unregistered non-filers"
35206-2203581-6,Farhan Nawaz,Faisalabad,100,100,100,100,100,100.0,50.592144410893994,72.83,1,"Non-Filer (No active tax filings recorded) | Owns 3 vehicle(s) (Max engine CC: 4600cc) | Monthly utility consumption: Max bill PKR 153,937 | Owns 4 property/properties (Total estimated value: PKR 480,209,372) | International travels logged: 1 flight(s) (1 Business/First class) | Entity Resolution Warning: 5 asset records registered under conflicting name variations (Benami risk) | Network Risk: Shares registered address with 270 other individuals | Community Risk: Shares property space with 90 unregistered non-filers"
35203-6159752-4,Osman Nawaz,Faisalabad,100,100,100,100,100,100.0,49.66617822094429,72.32,1,"Non-Filer (No active tax filings recorded) | Owns 1 vehicle(s) (Max engine CC: 4600cc) | Monthly utility consumption: Max bill PKR 265,651 | Owns 3 property/properties (Total estimated value: PKR 291,751,792) | International travels logged: 1 flight(s) (1 Business/First class) | Entity Resolution Warning: 3 asset records registered under conflicting name variations (Benami risk) | Network Risk: Shares registered address with 270 other individuals | Community Risk: Shares property space with 90 unregistered non-filers"
35203-8479903-7,Noman Malik,Multan,100,100,100,100,100,100.0,48.65026311515118,71.76,1,"Non-Filer (No active tax filings recorded) | Owns 4 vehicle(s) (Max engine CC: 4600cc) | Monthly utility consumption: Max bill PKR 470,855 | Owns 3 property/properties (Total estimated value: PKR 350,098,250) | International travels logged: 1 flight(s) (1 Business/First class) | Entity Resolution Warning: 4 asset records registered under conflicting name variations (Benami risk) | Network Risk: Shares registered address with 270 other individuals | Community Risk: Shares property space with 90 unregistered non-filers"
35203-3063764-9,Noman Akhtar,Multan,100,100,100,100,100,100.0,48.65026311515118,71.76,1,"Non-Filer (No active tax filings recorded) | Owns 1 vehicle(s) (Max engine CC: 2000cc) | Monthly utility consumption: Max bill PKR 177,765 | Owns 3 property/properties (Total estimated value: PKR 306,244,067) | International travels logged: 1 flight(s) (1 Business/First class) | Entity Resolution Warning: 4 asset records registered under conflicting name variations (Benami risk) | Network Risk: Shares registered address with 270 other individuals | Community Risk: Shares property space with 90 unregistered non-filers"
35209-3930591-3,Junaid Mahmood,Islamabad,100,100,100,100,100,100.0,48.65026311515118,71.76,1,"Non-Filer (No active tax filings recorded) | Owns 2 vehicle(s) (Max engine CC: 4600cc) | Monthly utility consumption: Max bill PKR 208,611 | Owns 2 property/properties (Total estimated value: PKR 182,719,670) | International travels logged: 1 flight(s) (1 Business/First class) | Entity Resolution Warning: 4 asset records registered under conflicting name variations (Benami risk) | Network Risk: Shares registered address with 270 other individuals | Community Risk: Shares property space with 90 unregistered non-filers"
35206-7527305-4,Asad Sheikh,Multan,100,100,100,100,100,100.0,47.00802970704523,70.85,1,"Non-Filer (No active tax filings recorded) | Owns 3 vehicle(s) (Max engine CC: 4600cc) | Monthly utility consumption: Max bill PKR 234,385 | Owns 4 property/properties (Total estimated value: PKR 417,264,095) | International travels logged: 1 flight(s) (1 Business/First class) | Entity Resolution Warning: 6 asset records registered under conflicting name variations (Benami risk) | Network Risk: Shares registered address with 281 other individuals | Community Risk: Shares property space with 90 unregistered non-filers"
35203-2594508-8,Ali Dar,Islamabad,100,100,100,100,100,100.0,47.00802970704523,70.85,1,"Non-Filer (No active tax filings recorded) | Owns 3 vehicle(s) (Max engine CC: 2000cc) | Monthly utility consumption: Max bill PKR 370,209 | Owns 3 property/properties (Total estimated value: PKR 309,632,002) | International travels logged: 1 flight(s) (1 Business/First class) | Entity Resolution Warning: 6 asset records registered under conflicting name variations (Benami risk) | Network Risk: Shares registered address with 281 other individuals | Community Risk: Shares property space with 90 unregistered non-filers"
35209-1282637-1,Farhan Dar,Rawalpindi,100,100,100,100,100,100.0,47.00802970704523,70.85,1,"Non-Filer (No active tax filings recorded) | Owns 3 vehicle(s) (Max engine CC: 4600cc) | Monthly utility consumption: Max bill PKR 403,569 | Owns 4 property/properties (Total estimated value: PKR 381,030,520) | International travels logged: 1 flight(s) (1 Business/First class) | Entity Resolution Warning: 6 asset records registered under conflicting name variations (Benami risk) | Network Risk: Shares registered address with 281 other individuals | Community Risk: Shares property space with 90 unregistered non-filers"
35206-6671092-1,Umar Ahmed,Rawalpindi,100,100,100,100,100,100.0,47.00802970704523,70.85,1,"Non-Filer (No active tax filings recorded) | Owns 3 vehicle(s) (Max engine CC: 2000cc) | Monthly utility consumption: Max bill PKR 249,809 | Owns 2 property/properties (Total estimated value: PKR 158,565,816) | International travels logged: 1 flight(s) (1 Business/First class) | Entity Resolution Warning: 6 asset records registered under conflicting name variations (Benami risk) | Network Risk: Shares registered address with 281 other individuals | Community Risk: Shares property space with 90 unregistered non-filers"
35208-4693276-1,Bilal Mahmood,Karachi,100,100,100,100,100,100.0,47.00802970704523,70.85,1,"Non-Filer (No active tax filings recorded) | Owns 1 vehicle(s) (Max engine CC: 2000cc) | Monthly utility consumption: Max bill PKR 193,858 | Owns 4 property/properties (Total estimated value: PKR 327,779,165) | International travels logged: 1 flight(s) (1 Business/First class) | Entity Resolution Warning: 6 asset records registered under conflicting name variations (Benami risk) | Network Risk: Shares registered address with 281 other individuals | Community Risk: Shares property space with 90 unregistered non-filers"
35207-1793439-2,Osman Nawaz,Lahore,100,100,100,100,100,100.0,47.00802970704523,70.85,1,"Non-Filer (No active tax filings recorded) | Owns 1 vehicle(s) (Max engine CC: 2000cc) | Monthly utility consumption: Max bill PKR 193,481 | Owns 3 property/properties (Total estimated value: PKR 321,154,799) | International travels logged: 1 flight(s) (1 Business/First class) | Entity Resolution Warning: 6 asset records registered under conflicting name variations (Benami risk) | Network Risk: Shares registered address with 281 other individuals | Community Risk: Shares property space with 90 unregistered non-filers"
